HJT9CJ	http://dbpedia.org/ontology/Song	1	100	0.3475828171	object
HJT9CJ	http://dbpedia.org/ontology/Song	2	100	0.28474617	object
HJT9CJ	http://dbpedia.org/ontology/Song	3	100	0.4007530212	object
HJT9CJ	http://dbpedia.org/ontology/Song	4	100	0.5523893833	object
HJT9CJ	http://dbpedia.org/ontology/Song	5	100	1.8195126057	existence
HJT9CJ	http://dbpedia.org/ontology/Song	6	100	3.3772156239	object
HJT9CJ	http://dbpedia.org/ontology/Song	7	100	6.3853452206	object
HJT9CJ	http://dbpedia.org/ontology/Song	8	100	14.7364706993	object
HJT9CJ	http://dbpedia.org/ontology/Song	9	100	25.0232014656	object
HJT9CJ	http://dbpedia.org/ontology/Song	10	100	46.5488231182	object
HJT9CJ	http://dbpedia.org/ontology/Book	1	100	0.2335591316	object
HJT9CJ	http://dbpedia.org/ontology/Book	2	100	0.2383463383	object
HJT9CJ	http://dbpedia.org/ontology/Book	3	100	0.2943031788	object
HJT9CJ	http://dbpedia.org/ontology/Book	4	100	0.4869019985	object
HJT9CJ	http://dbpedia.org/ontology/Book	5	100	1.4798192978	existence
HJT9CJ	http://dbpedia.org/ontology/Book	6	100	3.225661993	object
HJT9CJ	http://dbpedia.org/ontology/Book	7	100	7.2030203342	object
HJT9CJ	http://dbpedia.org/ontology/Book	8	100	10.7853240967	object
HJT9CJ	http://dbpedia.org/ontology/Book	9	100	16.1859135628	object
HJT9CJ	http://dbpedia.org/ontology/Book	10	100	24.0981910229	object
HJT9CJ	http://dbpedia.org/ontology/Film	1	100	0.277261734	object
HJT9CJ	http://dbpedia.org/ontology/Film	2	100	0.3386924267	existence
HJT9CJ	http://dbpedia.org/ontology/Film	3	100	0.4358158112	object
HJT9CJ	http://dbpedia.org/ontology/Film	4	100	0.6648843288	object
HJT9CJ	http://dbpedia.org/ontology/Film	5	100	1.128811121	object
HJT9CJ	http://dbpedia.org/ontology/Film	6	100	1.7124190331	object
HJT9CJ	http://dbpedia.org/ontology/Film	7	100	2.5031476021	object
HJT9CJ	http://dbpedia.org/ontology/Film	8	100	10.3476662636	object
